,quote
0,419882 iammarajul Is This a Give-Away? 16h ago C++17 GCC 9.2 0.0s 1.0 MB Accepted
1,418507 iammarajul Remember-Remainder 4d ago C++17 GCC 9.2 0.0s 1.3 MB Wrong Answer
2,418229 iammarajul Video Game 4d ago C++17 GCC 9.2 0.1s 14 MB Accepted
3,417753 iammarajul K-Th Root 4d ago C++17 GCC 9.2 0.9s 27 MB Accepted
4,417749 iammarajul K-Th Root 4d ago C++17 GCC 9.2 0.9s 28 MB Wrong Answer
5,417625 iammarajul K-Th Root 4d ago C++17 GCC 9.2 0.9s 81 MB Wrong Answer
6,417618 iammarajul K-Th Root 4d ago C++17 GCC 9.2 1.0s 81 MB Wrong Answer
7,417499 iammarajul Game of Boxes 4d ago C++17 GCC 9.2 0.1s 786 kB Accepted
8,413129 iammarajul Jenga Tower 2w ago C++17 GCC 9.2 0.1s 8.5 MB Accepted
9,412915 iammarajul Fun Theory 2w ago C++17 GCC 9.2 0.0s 131 kB Accepted
10,412880 iammarajul Fun Theory 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
11,412654 iammarajul Funmondi Contest! 2w ago C++17 GCC 9.2 0.2s 3.1 MB Accepted
12,412531 iammarajul Tough Giveaway 2w ago C++17 GCC 9.2 0.0s 0 B Accepted
13,412526 iammarajul Tough Giveaway 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
14,408184 iammarajul Water Bottle Buying 2w ago C++17 GCC 9.2 0.0s 0 B Accepted
15,408132 iammarajul Shimanto's Parallelogram 2w ago C++17 GCC 9.2 0.0s 262 kB Accepted
16,408073 iammarajul Problem in the Printer 2w ago C++17 GCC 9.2 0.0s 131 kB Accepted
17,408029 iammarajul Problem in the Printer 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
18,407925 iammarajul Tower of Sticks 2w ago C++17 GCC 9.2 0.0s 131 kB Accepted
19,407872 iammarajul Highschool Mathematics 2w ago C++17 GCC 9.2 0.0s 0 B Accepted
20,407853 iammarajul Highschool Mathematics 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
21,407793 iammarajul Thanks Giving 2w ago C++17 GCC 9.2 0.0s 0 B Accepted
22,407783 iammarajul Thanks Giving 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
23,407774 iammarajul Thanks Giving 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
24,407768 iammarajul Thanks Giving 2w ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
25,395566 iammarajul Memes vs. Social Media 1M ago C++17 GCC 9.2 0.0s 524 kB Wrong Answer
26,395557 iammarajul Memes vs. Social Media 1M ago C++17 GCC 9.2 0.0s 655 kB Wrong Answer
27,395451 iammarajul Most Difficult Problem Ever 1M ago C++17 GCC 9.2 0.1s 1.2 MB Accepted
28,395443 iammarajul Most Difficult Problem Ever 1M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
29,395427 iammarajul Most Difficult Problem Ever 1M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
30,395425 iammarajul Most Difficult Problem Ever 1M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
31,395211 iammarajul Memes vs. Social Media 1M ago C++17 GCC 9.2 0.0s 655 kB Wrong Answer
32,394986 iammarajul Aloyna and CAN buying 1M ago C++17 GCC 9.2 0.0s 131 kB Accepted
33,394940 iammarajul Mad Engineer Aksir 1M ago C++17 GCC 9.2 0.1s 655 kB Accepted
34,394898 iammarajul Poltu and Odd Number 1M ago C++17 GCC 9.2 0.1s 3.1 MB Accepted
35,394865 iammarajul Erik and His Buggy Code 1M ago C++17 GCC 9.2 0.0s 0 B Accepted
36,360638 iammarajul Palindrome Again 2M ago C++17 GCC 9.2 0.0s 131 kB Accepted
37,360557 iammarajul Palindrome Again 2M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
38,359665 iammarajul Arshiya's First Code 2M ago C++17 GCC 9.2 0.0s 131 kB Accepted
39,351276 iammarajul Sum of N * N 2M ago C++17 GCC 9.2 0.0s 131 kB Accepted
40,351136 iammarajul Gratitude 2M ago C++17 GCC 9.2 0.0s 0 B Accepted
41,349599 iammarajul Query Over Graph 3M ago C++17 GCC 9.2 0.1s 131 kB Accepted
42,349596 iammarajul Query Over Graph 3M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
43,349574 iammarajul Query Over Graph 3M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
44,349522 iammarajul Sheldon’s Trouble! 3M ago C++17 GCC 9.2 1.0s 2.2 MB CPU Limit Exceeded
45,349504 iammarajul Sheldon’s Trouble! 3M ago C++17 GCC 9.2 1.0s 2.1 MB CPU Limit Exceeded
46,349018 iammarajul They are snakes 3M ago C++17 GCC 9.2 0.0s 131 kB Accepted
47,348934 iammarajul El Duivel 3M ago C++17 GCC 9.2 0.0s 131 kB Accepted
48,348903 iammarajul El Duivel 3M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
49,348901 iammarajul El Duivel 3M ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
50,348866 iammarajul String Matching 3M ago C++17 GCC 9.2 0.0s 393 kB Accepted
51,348714 iammarajul CPU/Time limit exceeded 3M ago C++17 GCC 9.2 0.0s 0 B Accepted
52,348680 iammarajul Kacchi Biriyani and Mr. Khai Khai 3M ago C++17 GCC 9.2 0.0s 0 B Accepted
53,348606 iammarajul DIU CIS Rocks 3M ago C++17 GCC 9.2 0.0s 0 B Accepted
54,342621 iammarajul Array Query 3M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
55,342591 iammarajul Array Query 3M ago C++17 GCC 9.2 0.0s 131 kB Wrong Answer
56,342503 iammarajul Speed vs. Skill 3M ago C++17 GCC 9.2 0.0s 0 B Wrong Answer
57,342481 iammarajul National Anthem 3M ago C++17 GCC 9.2 0.3s 20 MB Accepted
58,342479 iammarajul National Anthem 3M ago C++17 GCC 9.2 0.0s 131 kB Runtime Error
59,342458 iammarajul The Palindrome Joke! (V.1) 3M ago C++17 GCC 9.2 0.0s 131 kB Accepted
60,342417 iammarajul Murad-Takla Encoder 3M ago C++17 GCC 9.2 0.0s 262 kB Accepted
61,342274 iammarajul The Battle of Street Food 3M ago C++17 GCC 9.2 0.0s 0 B Accepted
62,341216 iammarajul Elementary Arithmetic 3M ago C++17 GCC 9.2 0.1s 7.0 MB Accepted
63,341211 iammarajul Board of Numbers 3M ago C++17 GCC 9.2 0.0s 0 B Accepted
